id,name,class,latitude,longitude
183,Heap`s Peak Transfer Station,Composting_Sites,34.23481014967535,           -117.14807
184,Herbert Compost Operation,Composting_Sites,36.92624010936252,           -121.43971
185,Highway 59 Compost Facility,Composting_Sites,37.39281010225148,           -120.49648
186,Hillside Class III Disposal Site,Composting_Sites,37.68309009781132,           -122.444
187,Hines Horticulture Compost,Composting_Sites,38.48975008541265,           -121.9495
188,Howe Operations,Composting_Sites,38.52593008485459,           -121.33704
189,HWMA Mad River Composting Operation,Composting_Sites,40.90994004777038,           -124.06627
190,IEUA RP-5 SHF/REEP FWAD,Composting_Sites,33.96141015369447,           -117.667
191,"Imperial Western Products, Inc.",Composting_Sites,33.65743015814492,           -116.15526
192,Inland Composting,Composting_Sites,34.06676015214758,           -117.31667
193,Inland Empire Regional Composting Fac.,Composting_Sites,34.08677015185351,           -117.52741
194,Inland Pacific R.R. Slaughterhouse Yard,Composting_Sites,32.90815016903001,           -116.95112
195,Inland Pacific Resource Recovery Hwy 67,Composting_Sites,32.90309016910307,           -116.937
196,"Jack L. Spence, Inc. Compost Facility",Composting_Sites,39.15100007518855,           -121.79374
197,Jepson Prairie Organics Composting Fac,Composting_Sites,38.3137000881258,           -121.8372
198,John Brichetto Compost Site A,Composting_Sites,37.82617009561844,           -120.87383
199,John Brichetto Compost Site B,Composting_Sites,37.818830095731,           -120.87529
200,John Brichetto Compost Site C,Composting_Sites,37.81366009581029,           -120.87532
201,John Brichetto Compost Site D,Composting_Sites,37.8106200958569,           -120.87434
202,John Brichetto Compost Site E,Composting_Sites,37.79199009614254,           -120.8598
203,John Brichetto Compost Site F,Composting_Sites,37.72119009722767,           -120.83488
204,John Brichetto Compost Site G,Composting_Sites,37.7671200965238,           -120.88385
205,John Brichetto Compost Site H,Composting_Sites,37.76436009656612,           -120.87871
206,John Brichetto Compost Site I,Composting_Sites,37.76424009656796,           -120.86919
207,John Brichetto Compost Site J,Composting_Sites,37.70102009753667,           -120.78692
208,John Brichetto Compost Site K,Composting_Sites,37.7430900968921,           -120.85098
209,John Brichetto Compost Site L,Composting_Sites,37.74177009691233,           -120.84859
210,John Brichetto Compost Site M,Composting_Sites,37.72974009709667,           -120.87882
211,John Brichetto Compost Site N,Composting_Sites,37.72315009719762,           -120.87626
212,John Brichetto Compost Site O,Composting_Sites,37.72169009722002,           -120.86061
213,Johnson Canyon Landfill Compost,Composting_Sites,36.3160101186126,           -121.24219
214,Joseph Phelps Vineyards,Composting_Sites,38.50211008522201,           -122.42783
215,Ken Stone #3,Composting_Sites,37.28805010385091,           -120.3695
216,Kenneth Stone & Family Spreading Service,Composting_Sites,37.11731010645432,           -120.52139
217,Kern Valley Recycling/Transfer Station,Composting_Sites,35.70994012773917,           -118.41231
218,Kochergen Farms Composting,Composting_Sites,36.08745012206168,           -120.07519
219,KORE Infrastructure LLC,Composting_Sites,34.03165015266339,           -117.36614
220,KWRA Composting Facility,Composting_Sites,36.30580011876685,           -119.59904
221,La Pata Avenue Greenwaste Facility,Composting_Sites,33.5040901603825,           -117.62175
222,Laguna Subregional Compost Facility,Composting_Sites,38.36786008729155,           -122.76833
223,Lam Hauling Inc. Chipping and Grinding,Composting_Sites,37.31121010349746,           -121.86524
224,Lamb Canyon Research Composting,Composting_Sites,33.88612015479856,           -116.99744
225,Lancaster Landfill and Recycling Center,Composting_Sites,34.74749014209835,           -118.1165
226,Lancaster Reclaimable Anerobic Composter,Composting_Sites,34.74716014210325,           -118.1198
227,Landers Sanitary Landfill,Composting_Sites,34.23785014963059,           -116.36983
228,Lebec Transfer Station composting Op.,Composting_Sites,34.8269901409188,           -118.88787
229,Liberty Composting Inc.,Composting_Sites,35.67342012828704,           -119.78783
230,Limoneira / Agromin Ag. Composting Op.,Composting_Sites,34.30194014868623,           -119.12559
231,"Lopez Ag Service, Inc.",Composting_Sites,38.4964500853093,           -121.26253
232,Lopez Canyon Environmental Center,Composting_Sites,34.32335014837054,           -118.37852
233,Los Angeles Equestrian Center,Composting_Sites,34.16080015076486,           -118.31025
234,"M and M Dairy, Inc.",Composting_Sites,36.53536011529444,           -121.4643
235,"M.B. Organics, Inc. Galway",Composting_Sites,33.48715016062936,           -117.0358
236,"Main Base Sanitary Landfill, Edwards AFB",Composting_Sites,34.95614013900001,           -117.95627
237,"Mallard Creek, Inc.",Composting_Sites,38.80930008047825,           -121.31771
238,MarBorg C&D Recycling &Transfer Facility,Composting_Sites,34.42051014693685,           -119.68285
239,MarBorg Green Waste Recycling Facility,Composting_Sites,34.41853014696611,           -119.68194
240,Marin Sanitary Service Transfer Station,Composting_Sites,37.95425009365309,           -122.50517
241,Mariposa Co. Composting Facility,Composting_Sites,37.50450010054447,           -120.00496
242,"MB Landscaping and Nursery, Inc.",Composting_Sites,33.85563015524535,           -118.27847
243,McCourtney Road Large Volume T.S.,Composting_Sites,39.17227007485882,           -121.10972
244,McFarland-Delano R/TS CMHO,Composting_Sites,35.7448201272156,           -119.2634
245,McGrath Farm,Composting_Sites,34.21035015003557,           -119.10959
246,Mendocino Earth Products,Composting_Sites,39.08004007628812,           -123.1584
247,Mid-Valley Sanitary Landfill,Composting_Sites,34.14337015102127,           -117.42752
248,Middle Ranch Composting Operation,Composting_Sites,34.29635014876861,           -118.34794
249,Miramar Greenery,Composting_Sites,32.85486016979943,           -117.15747
250,Miramar Wholesale Nursery,Composting_Sites,32.86229016969219,           -117.1805
251,"Mission Landscape Services, Inc.",Composting_Sites,33.99915015314059,           -117.67164
252,"Mont Emei Vineyards, LLC",Composting_Sites,38.45071008601463,           -122.29043
253,Monterey Mushrooms,Composting_Sites,36.83524011074565,           -121.666
254,Monterey Mushrooms - Morgan Hill,Composting_Sites,37.16401010574269,           -121.7058
255,Monterey Peninsula Landfill,Composting_Sites,36.70970011265164,           -121.76223
256,Mt Vernon Ave Recycling & Composting Fac,Composting_Sites,35.32762013346348,           -118.9675
257,Mushroom Adventures,Composting_Sites,39.30394007281669,           -121.59691
258,Nakashima Farms Composting #1,Composting_Sites,37.39232010225894,           -120.67422
259,Nakashima Farms Composting #2,Composting_Sites,37.38294010240223,           -120.67455
260,New Era Farm Service #1,Composting_Sites,36.18236012063049,           -119.26117
261,New Lakeview Farms LLC,Composting_Sites,33.83059015561211,           -117.0873
262,Newby Island Compost Facility,Composting_Sites,37.45479010130442,           -121.923
263,Nilsen Farms Composting,Composting_Sites,38.46386008581189,           -121.1501
264,"North Hills Recycling, Inc.",Composting_Sites,34.29082014885012,           -118.4699
265,Northern Recycling Compost - Zamora,Composting_Sites,38.77626010470561,           -121.8777414649117
266,Northern Recycling Compost-Research Proj,Composting_Sites,38.77958659119184,           -121.8777081524577
267,Norwalk Industries Green Waste Operation,Composting_Sites,33.91459015438117,           -118.04038
268,Nursery Products Hawes Composting Fac.,Composting_Sites,34.91868013955688,           -117.33536
269,NW Kern Green Waste Project Wasco Site,Composting_Sites,35.59429012947349,           -119.3759
270,Oak Tree Worm Farm- Chip&Grind (Compost),Composting_Sites,34.15009015092243,           -118.7333
271,Oakview Dairy,Composting_Sites,36.2036801203088,           -119.4191
272,Ojai Valley Organics,Composting_Sites,34.42718014683837,           -119.2999
273,Ojai Valley Waste Water Treatment Plant,Composting_Sites,34.34819014800418,           -119.29802
274,Olam Tomato Processors,Composting_Sites,39.1026900759372,           -122.1101
275,"Old Durham Wood, Inc.",Composting_Sites,39.65689006733347,           -121.743
276,"Oliveira Enterprises, Inc.",Composting_Sites,37.81003009586596,           -121.6
277,One Stop Landscape Supply Center,Composting_Sites,34.02231015280054,           -117.20667
278,Opus One,Composting_Sites,38.43244008629629,           -122.4121
279,"Ornelas Wood Recovery, Inc.",Composting_Sites,34.74801014209064,           -118.24871
280,Oso Vineyard,Composting_Sites,38.64652008299338,           -122.48794
281,Otay Landfill,Composting_Sites,32.6034201734211,           -117.005
282,Otay Landfill Research Composting Op.,Composting_Sites,32.60445017340631,           -117.00536
283,Otay Mesa Compost Facility,Composting_Sites,32.58139017373774,           -116.91517
284,Pacific Recycling Solutions Composting,Composting_Sites,39.10532007589644,           -123.1929
285,Pacific Wood Recycling Chipping&Grinding,Composting_Sites,39.15009007520263,           -121.58333
286,Partida Fertilizer,Composting_Sites,33.99004015327431,           -117.61164
287,Peach Hill Organic Recycling,Composting_Sites,34.28565014892632,           -118.91817
288,Pebbly Beach (Avalon) Disposal Site,Composting_Sites,33.3330901628718,           -118.31
289,Pena`s Disposal Inc Transfer & MRF,Composting_Sites,36.53142011535408,           -119.30234
290,Perris Transfer Station and MRF,Composting_Sites,33.77028015649498,           -117.2294
291,Phil Foster Ranch Composting Operation,Composting_Sites,36.85313011047384,           -121.31295
292,Pico Rivera Material Recovery Facility,Composting_Sites,34.00129015310915,           -118.0944
293,Plants Choice Comp Material Handling Op.,Composting_Sites,32.6034201734211,           -117.005
294,Point Reyes Compost Co. LLC,Composting_Sites,38.10425009134858,           -122.82569
295,Poncia Fertilizer,Composting_Sites,38.36529008733113,           -122.73582
296,Popelino`s Greenwaste Recycling,Composting_Sites,34.11676015141263,           -117.3
297,Potrero Hills Compost Facility,Composting_Sites,38.21757008960564,           -121.98855
298,Premier Mushrooms,Composting_Sites,39.17761007477604,           -121.9952
299,Pro Organic Farms,Composting_Sites,33.86719015507597,           -117.0584
300,PSSI Ag. Material Storage / Handling Op.,Composting_Sites,37.39839010216622,           -122.18955
301,"R&S Soil Products, Inc. Irvine",Composting_Sites,33.66978015796449,           -117.70503
302,R.A. Nelson MRF/TS Pilot Food/Green Wast,Composting_Sites,34.02270015279481,           -117.38004
303,"Rainbow Transfer/Recycling Company, Inc.",Composting_Sites,33.7138201573208,           -117.9966
304,Ralphs Renewable Energy Facility,Composting_Sites,33.87154015501221,           -118.24125
305,Rancho Las Virgenes Composting Facility,Composting_Sites,34.10557015157716,           -118.71217
306,Rancho Mission Viejo Compost Facility,Composting_Sites,33.52189016012302,           -117.566
307,Rancho Tesoro,Composting_Sites,33.76896015651432,           -116.2806
308,Recology Blossom Valley Organics N Hamme,Composting_Sites,37.72532009716441,           -121.10847
309,Recology Blossom Valley Organics N Verna,Composting_Sites,37.59657009913599,           -121.31485
310,Recology Blossom Valley Organics- South,Composting_Sites,35.19786013540033,           -118.91896
